CT_Language 0.001
default_menubut_find|Allgemein suchen
default_menubut_hypens|Worttrennungen suchen
default_menubut_warning|Warnungen suchen
default_menubut_header|Überschriften suchen
default_menubut_regex|Reguläre Ausdrücke bearbeiten
default_menubut_style|Mit Absatzvorlagen arbeiten
default_menubut_options|Einstellungen
default_menubut_debug|Debug Log
default_tt_reg_cmbList|Liste zur Ansicht auswählen
default_tt_sm_reg_add|Einen neuen regulären Ausdruck hinzufügen
default_tt_sm_reg_separator|Eine Trennlinie hinzufügen
default_tt_sm_reg_remove|Ausgewählten regulären Ausdruck entfernen
default_tt_sm_reg_on|Ausgewählten regulären Ausdruck aktivieren
default_tt_sm_reg_off|Ausgewählten regulären Ausdruck desaktivieren
default_tt_sm_reg_up|Ausgewählten regulären Ausdruck nach oben schieben
default_tt_sm_reg_down|Ausgewählten regulären Ausdruck nach unten schieben
default_tt_sm_reg_edit|Ausgewählten regulären Ausdruck bearbeiten
default_tt_reg_save|Regulären Ausdruck speichern
default_tt_reg_paste|Regulären Ausdruck einfügen
default_tt_reg_copy|Regulären Ausdruck in die Zwischenablage kopieren
default_tt_reg_restore|Regulären Ausdruck zum voreingestellten Wert zurücksetzen
default_tt_reg_cmdSiteRegEx|Pepitos Website besuchen, für mehr reguläre Ausdrücke
default_tt_fin_cmbStyle|Absatzvorlage auswählen, um die Suche zu begrenzen
default_tt_sm_fin_next|Nächste Fundstelle
default_tt_sm_fin_prev|Vorherige Fundstelle
default_tt_sm_fin_make|Einmal ausführen
default_tt_sm_fin_makeAll|Für alle ausführen
default_tt_sm_fin_make2|Einmal ausführen
default_tt_sm_fin_makeAll2|Für alle ausführen
default_tt_sm_fin_undo|Letzten Vorgang rückgängig machen
default_tt_sm_sty_next|Nächste Fundstelle
default_tt_sm_sty_prev|Vorherige Fundstelle
default_tt_sm_sty_style|Absatzvorlage der Auswahl zuweisen
default_tt_sm_sty_make|Ausgewählte Absatzvorlage hier zuweisen
default_tt_sm_sty_makeAll|Überall zuweisen
default_tt_sm_sty_undo|Letzten Vorgang rückgängig machen
default_tt_gen_Refresh|Auffrischen
default_tt_sm_hyp_cancel|Worttrennung entfernen
